tipo;codigo_movimiento;nro_comprobante;fecha_comprobante;nro_asiento;id_ejercicio;fecha_asiento;concepto;desc_concepto;cod_pc;cuenta;naturaleza;debe;haber;saldo_asiento;anulado
FA;11017;0005-00035059;11/07/2025;33763.0;1.0;11/07/2025;3.0;Compra;110401;IVA Crédito Fiscal;Deudor;61854.5500;0.0000;-1582207037.35;No
FA;11017;0005-00035059;11/07/2025;33763.0;1.0;11/07/2025;3.0;Compra;210101;Proveedores;Acreedor;0.0000;356400.0100;1384356606.04;No
FA;11017;0005-00035059;11/07/2025;33763.0;1.0;11/07/2025;3.0;Compra;410240;Supermercado;Deudor;294545.4600;0.0000;4652213.43;No
FA;15896;1200-00066692;31/07/2025;33765.0;1.0;31/07/2025;3.0;Compra;110401;IVA Crédito Fiscal;Deudor;166839.1000;0.0000;-1582040198.25;No
FA;15896;1200-00066692;31/07/2025;33765.0;1.0;31/07/2025;3.0;Compra;110402;I.B. - Percepcion Bs As;Deudor;15889.4400;0.0000;-62548083.90;No
FA;15896;1200-00066692;31/07/2025;33765.0;1.0;31/07/2025;3.0;Compra;110501;Mercaderias de Reventas;Deudor;794471.9000;0.0000;2288178260.52;No
FA;15896;1200-00066692;31/07/2025;33765.0;1.0;31/07/2025;3.0;Compra;210101;Proveedores;Acreedor;0.0000;1034799.6500;1385391405.69;No
FA;15896;1200-00066692;31/07/2025;33765.0;1.0;31/07/2025;3.0;Compra;110420;I.B.Percepciones (CABA);Deudor;47668.3100;0.0000;-90692153.38;No
FA;15896;1200-00066692;31/07/2025;33765.0;1.0;31/07/2025;3.0;Compra;110432;I.B.Percepciones (Sta Fe);Deudor;9930.9000;0.0000;-5748725.24;No
FA;16070;0001-00000940;31/07/2025;33766.0;1.0;31/07/2025;3.0;Compra;110401;IVA Crédito Fiscal;Deudor;880752.8100;0.0000;-1581159445.44;No
