tipo;codigo_movimiento;nro_comprobante;fecha_comprobante;nro_asiento;id_ejercicio;fecha_asiento;concepto;desc_concepto;n_renglones;total_debe;total_haber;balanceado;importe_comprobante;anulado
FA;102726;0048-00015473;02/07/2026;16305.0;2.0;02/07/2026;3.0;Compra;5;71276.3500;71276.3500;Si;71276.35;No
FA;104376;0005-00039118;02/07/2026;16307.0;2.0;02/07/2026;3.0;Compra;3;537200.0700;537200.0700;Si;537200.07;No
FA;11017;0005-00035059;11/07/2025;33763.0;1.0;11/07/2025;3.0;Compra;3;356400.0100;356400.0100;Si;356400.01;No
FA;15896;1200-00066692;31/07/2025;33765.0;1.0;31/07/2025;3.0;Compra;6;1034799.6500;1034799.6500;Si;1034799.65;No
FA;16070;0001-00000940;31/07/2025;33766.0;1.0;31/07/2025;3.0;Compra;4;5240947.4900;5240947.4900;Si;5074813.81;No
FA;17387;0007-00085846;31/07/2025;33767.0;1.0;31/07/2025;3.0;Compra;3;10046.7800;10046.7800;Si;10046.78;No
FA;17388;0006-00085971;31/07/2025;33768.0;1.0;31/07/2025;3.0;Compra;5;5036257.5900;5036257.5900;Si;5036257.59;No
FA;17389;0007-00085845;31/07/2025;33769.0;1.0;31/07/2025;3.0;Compra;3;798410.1500;798410.1500;Si;798410.15;No
FA;17390;0006-00085970;31/07/2025;33770.0;1.0;31/07/2025;3.0;Compra;4;399238067.3700;399238067.3700;Si;399238067.37;No
FA;17392;0001-00000020;31/07/2025;33771.0;1.0;31/07/2025;3.0;Compra;3;907984000.0000;907984000.0000;Si;907984000.00;No
FA;17400;0002-00048369;11/08/2025;33772.0;1.0;11/08/2025;3.0;Compra;3;319509.5100;319509.5100;Si;319509.51;No
FA;17403;0002-00048544;11/08/2025;33774.0;1.0;11/08/2025;3.0;Compra;3;56109.7900;56109.7900;Si;56109.79;No
FA;17659;0001-00002429;12/08/2025;33776.0;1.0;12/08/2025;3.0;Compra;3;1999900.0000;1999900.0000;Si;1999900.00;No
FA;17660;0001-00002417;12/08/2025;33777.0;1.0;12/08/2025;3.0;Compra;3;657200.0000;657200.0000;Si;657200.00;No
FA;17661;0001-00002425;12/08/2025;33778.0;1.0;12/08/2025;3.0;Compra;3;1969880.0000;1969880.0000;Si;1969880.00;No
FA;17690;1200-00066744;31/07/2025;33780.0;1.0;31/07/2025;3.0;Compra;6;247012.1400;247012.1400;Si;247012.14;No
FA;17716;1200-00066743;31/07/2025;33781.0;1.0;31/07/2025;3.0;Compra;6;23885088.8600;23885088.8600;Si;23885088.86;No
FA;20971;0002-00000200;25/08/2025;33782.0;1.0;25/08/2025;3.0;Compra;3;28883305.0000;28883305.0000;Si;28883305.00;No
FA;20974;0005-00000042;25/08/2025;33784.0;1.0;25/08/2025;3.0;Compra;3;1120460.0000;1120460.0000;Si;1120460.00;No
FA;21570;0002-00107732;01/08/2025;33788.0;1.0;01/08/2025;3.0;Compra;3;220858.4400;220858.4400;Si;220858.44;No
FA;21650;0002-00000687;27/08/2025;33792.0;1.0;27/08/2025;3.0;Compra;3;2182207.1700;2182207.1700;Si;2182207.17;No
FA;21657;0003-00001311;27/08/2025;33794.0;1.0;27/08/2025;3.0;Compra;3;285318.0000;285318.0000;Si;285318.00;No
FA;21703;0003-00003214;27/08/2025;33804.0;1.0;27/08/2025;3.0;Compra;3;7709212.5000;7709212.5000;Si;7709212.50;No
FA;21708;0003-00003304;27/08/2025;33805.0;1.0;27/08/2025;3.0;Compra;3;4559280.0000;4559280.0000;Si;4559280.00;No
FA;22018;0048-00012788;28/08/2025;33810.0;1.0;28/08/2025;3.0;Compra;4;88219.1500;88219.1500;Si;88219.15;No
FA;24481;0004-00000001;25/08/2025;33814.0;1.0;25/08/2025;3.0;Compra;3;1615000.0000;1615000.0000;Si;1615000.00;No
FA;24485;0001-00013304;04/09/2025;33817.0;1.0;04/09/2025;3.0;Compra;3;86794.5100;86794.5100;Si;86794.51;No
FA;24581;0070-00377907;14/08/2025;33820.0;1.0;14/08/2025;3.0;Compra;6;295300792.3100;295300792.3100;Si;295300792.31;No
FA;25993;0070-00380806;29/08/2025;33821.0;1.0;29/08/2025;3.0;Compra;6;4536474.1800;4536474.1800;Si;4536474.18;No
FA;25998;0070-00380807;29/08/2025;33822.0;1.0;29/08/2025;3.0;Compra;7;7474476.4600;7474476.4600;Si;7474476.12;No
FA;26001;0070-00380808;29/08/2025;33823.0;1.0;29/08/2025;3.0;Compra;7;12504261.4200;12504261.4200;Si;12395436.85;No
FA;26272;0010-00120146;09/09/2025;33824.0;1.0;09/09/2025;3.0;Compra;4;968039.6700;968039.6700;Si;968039.67;No
FA;26629;0004-00057334;08/09/2025;33825.0;1.0;08/09/2025;3.0;Compra;4;5792507.7000;5792507.7000;Si;5496269.22;No
FA;27104;0003-00013188;09/09/2025;33827.0;1.0;09/09/2025;3.0;Compra;6;2315408.8800;2315408.8800;Si;2159710.15;No
FA;29293;0012-00168783;17/09/2025;33828.0;1.0;17/09/2025;3.0;Compra;6;1871179093.7400;1871179093.7400;Si;1847044045.89;No
FA;29483;0002-00001365;19/09/2025;33832.0;1.0;19/09/2025;3.0;Compra;3;16282728.0000;16282728.0000;Si;16282728.00;No
FA;29487;0001-00002478;19/09/2025;33834.0;1.0;19/09/2025;3.0;Compra;3;1482250.0000;1482250.0000;Si;1482250.00;No
FA;29489;0006-00126389;19/09/2025;33836.0;1.0;19/09/2025;3.0;Compra;5;539189.8300;539189.8300;Si;539189.83;No
FA;29639;0012-00168766;17/09/2025;33840.0;1.0;17/09/2025;3.0;Compra;6;6643644.0400;6643644.0400;Si;6626239.82;No
FA;29684;0012-00168692;12/09/2025;33841.0;1.0;12/09/2025;3.0;Compra;5;3770796.6000;3770796.6000;Si;3770796.60;No
FA;29685;0010-00120204;11/09/2025;33842.0;1.0;11/09/2025;3.0;Compra;4;889125.1300;889125.1300;Si;889125.13;No
FA;29689;0010-00120147;09/09/2025;33843.0;1.0;09/09/2025;3.0;Compra;5;30498235.9400;30498235.9400;Si;24254284.26;No
FA;30581;0048-00013035;23/09/2025;33844.0;1.0;23/09/2025;3.0;Compra;4;66635.1700;66635.1700;Si;66635.17;No
