best_id_articulo,admin_IDArt,admin_id_manual,score,status,best_articulo,admin_NombreArticulo,best_modelos,best_colores,best_talle,best_pack
AT2400BLBL4,1343,2400,124,MATCH_ALTO,Atomik 2400 Medias Stripe x2 Bl/Bl 4,2400 TL Atomik Media Stripe Blanco 2P,2400,BL/BL,4,2
AT2400BLBL5,1344,2400,124,MATCH_ALTO,Atomik 2400 Medias Stripe x2 Bl/Bl 5,2400 TM Atomik Media Stripe Blanco 2P,2400,BL/BL,5,2
AT2400BLNE4,1347,2400,123,MATCH_ALTO,Atomik 2400 Medias Stripe x2 Bl/Ne 4,2400 TL Atomik Media Stripe Mix 2P,2400,BL/NE,4,2
AT2400BLNE5,1348,2400,123,MATCH_ALTO,Atomik 2400 Medias Stripe x2 Bl/Ne 5,2400 TM Atomik Media Stripe Mix 2P,2400,BL/NE,5,2
AT2400NENE4,1345,2400,124,MATCH_ALTO,Atomik 2400 Medias Stripe x2 Ne/Ne 4,2400 TL Atomik Media Stripe Negro 2P,2400,NE/NE,4,2
AT2400NENE5,1346,2400,124,MATCH_ALTO,Atomik 2400 Medias Stripe x2 Ne/Ne 5,2400 TM Atomik Media Stripe Negro 2P,2400,NE/NE,5,2
AT2401BLBL4,128,2401,125,MATCH_ALTO,Atomik 2401(Atk-Caña)Media Liso x2 Bl/Bl 4,2401 TL Atomik Media Liso Blanco 2P,2401,BL/BL,4,2
AT2401BLBL5,126,2401,125,MATCH_ALTO,Atomik 2401(Atk-Caña)Media Liso x2 Bl/Bl 5,2401 TM Atomik Media Liso Blanco 2P,2401,BL/BL,5,2
AT2401NENE4,129,2401,125,MATCH_ALTO,Atomik 2401(Atk-Caña)Media Liso x2 Ne/Ne 4,2401 TL Atomik Media Liso Negro 2P,2401,NE/NE,4,2
AT2401NENE5,127,2401,125,MATCH_ALTO,Atomik 2401(Atk-Caña)Media Liso x2 Ne/Ne 5,2401 TM Atomik Media Liso Negro 2P,2401,NE/NE,5,2
AT2402BLBLBL4,134,2402,125,MATCH_ALTO,Atomik 2402(Atk-1025)Soquete Unisex Basico x3 Bl/Bl/Bl 4,2402 TL Atomik Soquete Unisex Basico Blanco 3P,2402|1025,BL/BL/BL,4,3
AT2402BLBLBL5,131,2402,125,MATCH_ALTO,Atomik 2402(Atk-1025)Soquete Unisex Basico x3 Bl/Bl/Bl 5,2402 TM Atomik Soquete Unisex Basico Blanco 3P,2402|1025,BL/BL/BL,5,3
AT2402BLGMNE4,133,2402,125,MATCH_ALTO,Atomik 2402(Atk-1025)Soquete Unisex Basico x3 Bl/Gm/Ne 4,2402 TL Atomik Soquete Unisex Basico Mix 3P,2402|1025,BL/GM/NE,4,3
AT2402BLGMNE5,130,2402,125,MATCH_ALTO,Atomik 2402(Atk-1025)Soquete Unisex Basico x3 Bl/Gm/Ne 5,2402 TM Atomik Soquete Unisex Basico Mix 3P,2402|1025,BL/GM/NE,5,3
AT2402NENENE5,132,2402,125,MATCH_ALTO,Atomik 2402(Atk-1025)Soquete Unisex Basico x3 Ne/Ne/Ne 5,2402 TM Atomik Soquete Unisex Basico Negro 3P,2402|1025,NE/NE/NE,5,3
AT2403BLBLBL4,137,2403,125,MATCH_ALTO,Atomik 2403(Atk-1930)Soquete Unisex Invisible x3 Bl/Bl/Bl 4,2403 TL Atomik Soquete Unisex Invisible Blanco 3P,2403|1930,BL/BL/BL,4,3
AT2403NENENE4,1128,2403,125,MATCH_ALTO,Atomik 2403(Atk-1930)Soquete Unisex Invisible x3 Ne/Ne/Ne 4,2403 TL Atomik Soquete Unisex Invisible Negro 3P,2403|1930,NE/NE/NE,4,3
AT2403NENENE5,1127,2403,125,MATCH_ALTO,Atomik 2403(Atk-1930)Soquete Unisex Invisible x3 Ne/Ne/Ne 5,2403 TM Atomik Soquete Unisex Invisible Negro 3P,2403|1930,NE/NE/NE,5,3
AT2406BLBL1,138,2406,125,MATCH_ALTO,Atomik 2406(Atk-7374Liso)Soquete Liso x2 Bl/Bl 1,2406 T1 Atomik Soquete Liso Blanco 2P,2406|7374,BL/BL,1,2
AT2406BLBL2,140,2406,125,MATCH_ALTO,Atomik 2406(Atk-7374Liso)Soquete Liso x2 Bl/Bl 2,2406 T2 Atomik Soquete Liso Blanco 2P,2406|7374,BL/BL,2,2
AT2406NENE1,139,2406,125,MATCH_ALTO,Atomik 2406(Atk-7374Liso)Soquete Liso x2 Ne/Ne 1,2406 T1 Atomik Soquete Liso Negro 2P,2406|7374,NE/NE,1,2
AT2406NENE2,141,2406,125,MATCH_ALTO,Atomik 2406(Atk-7374Liso)Soquete Liso x2 Ne/Ne 2,2406 T2 Atomik Soquete Liso Negro 2P,2406|7374,NE/NE,2,2
AT2407BLBL1,1130,2407,125,MATCH_ALTO,Atomik 2407(Atk-Cole)Media Liso x2 Bl/Bl 1,2407 T1 Atomik Media Liso Blanco 2P,2407,BL/BL,1,2
AT2407BLBL2,145,2407,125,MATCH_ALTO,Atomik 2407(Atk-Cole)Media Liso x2 Bl/Bl 2,2407 T2 Atomik Media Liso Blanco 2P,2407,BL/BL,2,2
AT2407BLBL3,148,2407,125,MATCH_ALTO,Atomik 2407(Atk-Cole)Media Liso x2 Bl/Bl 3,2407 T3 Atomik Media Liso Blanco 2P,2407,BL/BL,3,2
AT2407BLNE2,144,2407,124,MATCH_ALTO,Atomik 2407(Atk-Cole)Media Liso x2 Bl/Ne 2,2407 T2 Atomik Media Liso Mix 2P,2407,BL/NE,2,2
AT2407BLNE3,147,2407,124,MATCH_ALTO,Atomik 2407(Atk-Cole)Media Liso x2 Bl/Ne 3,2407 T3 Atomik Media Liso Mix 2P,2407,BL/NE,3,2
AT2407NENE1,1131,2407,125,MATCH_ALTO,Atomik 2407(Atk-Cole)Media Liso x2 Ne/Ne 1,2407 T1 Atomik Media Liso Negro 2P,2407,NE/NE,1,2
AT2407NENE2,146,2407,125,MATCH_ALTO,Atomik 2407(Atk-Cole)Media Liso x2 Ne/Ne 2,2407 T2 Atomik Media Liso Negro 2P,2407,NE/NE,2,2
AT2407NENE3,149,2407,125,MATCH_ALTO,Atomik 2407(Atk-Cole)Media Liso x2 Ne/Ne 3,2407 T3 Atomik Media Liso Negro 2P,2407,NE/NE,3,2
AT2408BLBL1,1354,2408,123,MATCH_ALTO,Atomik 2408 Medias Stripe Kids x2 Bl/Bl 1,2408 T1 Atomik Media Stripe Blanco 2P,2408,BL/BL,1,2
AT2408BLBL2,1355,2408,123,MATCH_ALTO,Atomik 2408 Medias Stripe Kids x2 Bl/Bl 2,2408 T2 Atomik Media Stripe Blanco 2P,2408,BL/BL,2,2
AT2408BLBL3,1356,2408,123,MATCH_ALTO,Atomik 2408 Medias Stripe Kids x2 Bl/Bl 3,2408 T3 Atomik Media Stripe Blanco 2P,2408,BL/BL,3,2
AT2408BLNE1,1360,2408,123,MATCH_ALTO,Atomik 2408 Medias Stripe Kids x2 Bl/Ne 1,2408 T1 Atomik Media Stripe Mix 2P,2408,BL/NE,1,2
AT2408BLNE2,1361,2408,123,MATCH_ALTO,Atomik 2408 Medias Stripe Kids x2 Bl/Ne 2,2408 T2 Atomik Media Stripe Mix 2P,2408,BL/NE,2,2
AT2408BLNE3,1362,2408,123,MATCH_ALTO,Atomik 2408 Medias Stripe Kids x2 Bl/Ne 3,2408 T3 Atomik Media Stripe Mix 2P,2408,BL/NE,3,2
AT2408NENE1,1357,2408,123,MATCH_ALTO,Atomik 2408 Medias Stripe Kids x2 Ne/Ne 1,2408 T1 Atomik Media Stripe Negro 2P,2408,NE/NE,1,2
AT2408NENE2,1358,2408,123,MATCH_ALTO,Atomik 2408 Medias Stripe Kids x2 Ne/Ne 2,2408 T2  Atomik Media Stripe Negro 2P,2408,NE/NE,2,2
AT2408NENE3,1359,2408,123,MATCH_ALTO,Atomik 2408 Medias Stripe Kids x2 Ne/Ne 3,2408 T3 Atomik Media Stripe Negro 2P,2408,NE/NE,3,2
KP610BLGMNE4,340,610,99,MATCH_ALTO,Kamp 610 Tripack Bl/Gm/Ne 4,610 T4 Kamp Tripack  Bl/Gm/Ne 3P,610,BL/GM/NE,4,3
LE7538BLBL5,524,37538,163,MATCH_ALTO,Levis 7538-M003 Mid Cut Sport Stripe 2P Bl/Bl 5,37538-M003 T5 Levis Mid Cut Sport Stripe Blanco 2P,7538|37538,BL/BL,5,2
LE7539MNMNMN5,525,37538,120,MATCH_ALTO,Levis (7539)7538-M002 Mid Cut Batwing Logo 3P Mn/Mn/Mn 5,37538-M002 T5 Levis Mid Cut Batwing Logo Marino 3P,7539|37538|7538,MN/MN/MN,5,3
LE7539NENENE5,526,37538,120,MATCH_ALTO,Levis (7539)7538-M001 Mid Cut Batwing Logo 3P Ne/Ne/Ne 5,37538-M001 T5 Levis Mid Cut Batwing Logo Negro 3P,7539|37538|7538,NE/NE/NE,5,3
LE7571BLBL5,527,37571,163,MATCH_ALTO,Levis 7571-M003 Low Cut Sport Stripe 2P Bl/Bl 5,37571-M003 T5 Levis Low Cut Sport Stripe Blanco 2P,7571|37571,BL/BL,5,2
LE7862MNMN5,592,37864,120,MATCH_ALTO,Levis (7862)7864-M002 Reg Cut Wordmark Logo 2P Mn/Mn 5,37864-M002 T5 Levis Reg Cut Wordmark Logo Marino 2P,7862|37864|7864,MN/MN,5,2
LE7863BLBLBL4,594,37863,119,MATCH_ALTO,Levis (7861)7863-W002 Low Cut Wordmark Logo 3P Bl/Bl/Bl 4,37863-W002 T4 Levis Women Low Cut Logo Blanco 3P,7863|37863|7861,BL/BL/BL,4,3
LE7863BLBLBL5,596,37863,121,MATCH_ALTO,Levis 7863-M003 Low Cut Wordmark Logo 3P Bl/Bl/Bl 5,37863-M003 T5 Levis Low Cut Wordmark Logo Blanco 3P,7863|37863,BL/BL/BL,5,3
LE7863GTM4BL5,597,37863,154,MATCH_ALTO,Levis 7863-M004 Low Cut Wordmark Logo 3P Gt/M4/Bl 5,37863-M004 T5 Levis Low Cut Wordmark Logo Gt/M4/Bl 3P,7863|37863,GT/M4/BL,5,3
LE7864BLBL5,599,37864,163,MATCH_ALTO,Levis 7864-M003 Reg Cut Sport Stripe 2P Bl/Bl 5,37864-M003 T5 Levis Reg Cut Sport Stripe Blanco 2P,7864|37864,BL/BL,5,2
LE7867BLBL4,600,37867,121,MATCH_ALTO,Levis 7867-W002 Women Low Rise Logo 2P Bl/Bl 4,37867-W002 T4 Levis Women Low Rise Logo Blanco 2P,7867|37867,BL/BL,4,2
LE7867NENE4,601,37867,121,MATCH_ALTO,Levis 7867-W001 Women Low Rise Logo 2P Ne/Ne 4,37867-W001 T4 Levis Women Low Rise Logo Negro 2P,7867|37867,NE/NE,4,2
PU1015BLBLBL4,11,906978,160,MATCH_ALTO,Puma 6978-07 Quarter 3P Bl/Bl/Bl 4,906978-07 T4 Puma Unisex Quarter Plain Blanco 3P,1015|906978|6978,BL/BL/BL,4,3
PU1015BLGMMN4,9,906978,132,MATCH_ALTO,Puma 6978-13 Quarter 3P Bl/Gm/Mn 4,906978-13 T4 Puma Unisex Quarter Plain Bl/Gm/Mn 3P,1015|906978|6978,BL/GM/MN,4,3
PU1015BLNEGM4,10,906978,132,MATCH_ALTO,Puma 6978-21 Quarter 3P Bl/Ne/Gm 4,906978-21 T4 Puma Unisex Quarter Plain Bl/Ne/Gm 3P,1015|906978|6978,BL/NE/GM,4,3
PU1015NENENE4,12,906978,160,MATCH_ALTO,Puma 6978-03 Quarter 3P Ne/Ne/Ne 4,906978-03 T4 Puma Unisex Quarter Plain Negro 3P,1015|906978|6978,NE/NE/NE,4,3
PU1015RSBLGM4,13,906978,132,MATCH_ALTO,Puma 6978-08 Quarter 3P Rs/Bl/Gm 4,906978-08 T4 Puma Unisex Quarter Plain Rs/Bl/Gm 3P,1015|906978|6978,RS/BL/GM,4,3
PU1025BLBLBL4,23,906807,160,MATCH_ALTO,Puma 6807-03 Inv. Sneaker 3P Bl/Bl/Bl 4,906807-03 T5 Puma Invisible Sneaker Blanco 3P,1025|906807|6807,BL/BL/BL,4,3
PU1025BLNEGM4,22,906807,132,MATCH_ALTO,Puma 6807-15 Inv. Sneaker 3P Bl/Ne/Gm 4,906807-15 T4 Puma Invisible Sneaker Bl/Ne/Gm 3P,1025|906807|6807,BL/NE/GM,4,3
PU1025FUGMM44,24,906807,132,MATCH_ALTO,Puma 6807-12 Inv. Sneaker 3P Fu/Gm/M4 4,906807-12 T4 Puma Invisible Sneaker Fu/Gm/M4 3P,1025|906807|6807,FU/GM/M4,4,3
PU1025GTGMM44,25,906807,132,MATCH_ALTO,Puma 6807-14 Puma Inv. Sneaker 3P Gt/Gm/M4 4,906807-14 T4 Puma Invisible Sneaker Gt/Gm/M4 3P,1025|906807|6807,GT/GM/M4,4,3
PU1025GTGMM45,37,906807,132,MATCH_ALTO,Puma 6807-14 Puma Inv. Sneaker 3P Gt/Gm/M4 5,906807-14 T5 Puma Invisible Sneaker Gt/Gm/M4 3P,1025|906807|6807,GT/GM/M4,5,3
PU1025NENENE4,27,906807,160,MATCH_ALTO,Puma 6807-01 Inv. Sneaker 3P Ne/Ne/Ne 4,906807-01 T4 Puma Invisible Sneaker Negro 3P,1025|906807|6807,NE/NE/NE,4,3
PU1025RSBLGM4,28,906807,132,MATCH_ALTO,Puma 6807-20 Inv. Sneaker 3P Rs/Bl/Gm 4,906807-20 T4 Puma Invisible Sneaker Rs/Bl/Gm 3P,1025|906807|6807,RS/BL/GM,4,3
PU1025TUVEVI4,30,906807,135,MATCH_ALTO,Puma 6807-79 Inv. Sneaker 3P Tu/Ve/Vi 4,906807-79 T4 Puma Invisible Sneaker Blanco Logo Tu/Ve/Vi 3P,1025|906807|6807,VE,4,3
PU1025TUVEVI5,39,906807,135,MATCH_ALTO,Puma 6807-79 Inv. Sneaker 3P Tu/Ve/Vi 5,906807-79 T5 Puma Invisible Sneaker Blanco Logo Tu/Ve/Vi 3P,1025|906807|6807,VE,5,3
PU1315NENE3,42,1315,160,MATCH_ALTO,PUMA 2570-04 Kids inv. Sneakers 2P Ne/Ne 3,892570-04 T3 Puma Kids invisible Sneakers Negro 2P,1315|2570,NE/NE,3,2
PU2392AZAZ3,122,907959,112,MATCH_ALTO,Puma 7959-04 Separate Tees Az/Az 3,907959-04 T3 Puma Easy Rider Junior Azul 2P,2392|7959,AZ/AZ,3,2
PU2392BLBL3,123,907959,112,MATCH_ALTO,Puma 7959-02 Separate Tees Bl/Bl 3,907959-02 T3 Puma Easy Rider Junior Blanco 2P,2392|7959,BL/BL,3,2
PU2392NENE3,124,907959,114,MATCH_ALTO,Puma 7959-01 Puma Easy Rider JR Ne/Ne 3,907959-01 T3 Puma Easy Rider Junior Negro 2P,2392|7959,NE/NE,3,2
PU3765BLBLGM5,201,883765,129,MATCH_ALTO,PUMA 3765-03 Lifestyle Sock 3P Bl/Bl/Gm 5,883765-03 T5 Puma Lifestyle Bl/Bl/Gm 3P,3765|883765,BL/BL/GM,5,3
PU3765NENEGM5,202,883765,129,MATCH_ALTO,PUMA 3765-02 Lifestyle Sock 3P Ne/Ne/Gm 5,883765-02 T5 Puma Lifestyle Ne/Ne/Gm 3P,3765|883765,NE/NE/GM,5,3
