best_id_articulo,best_codigo,best_articulo,best_marca,best_modelo,best_colores,best_talle,best_pack,status,confianza,score,razon,admin_IDArt,admin_id_manual,admin_NombreArticulo,admin_CodArtProv,admin_tipo_art_fab,candidatos_n,alt1_IDArt,alt1_nombre,alt1_score,alt2_IDArt,alt2_nombre,alt2_score
AT2400BLNE4,AT2400,Atomik 2400 Medias Stripe x2 Bl/Ne 4,Atomik,2400,BL/NE,4,2,AMBIGUO,revisar,99,B_model+talle+color_overlap_2+color0+marca,1351,2400,2400 T4  Atomik Media Stripe Blanco Logo Negro 1Par,,Terminado,11,1353,2400 T4  Atomik Media Stripe Negro Logo Blanco 1Par,99,1343,2400 TL Atomik Media Stripe Blanco 2P,95
AT2400BLNE5,AT2400,Atomik 2400 Medias Stripe x2 Bl/Ne 5,Atomik,2400,BL/NE,5,2,AMBIGUO,revisar,99,B_model+talle+color_overlap_2+color0+marca,1349,2400,2400 T5  Atomik Media Stripe Blanco Logo Negro 1Par,,Terminado,11,1350,2400 T5  Atomik Media Stripe Negro Logo Blanco 1Par,99,1344,2400 TM Atomik Media Stripe Blanco 2P,95
AT2400NENE5,AT2400,Atomik 2400 Medias Stripe x2 Ne/Ne 5,Atomik,2400,NE/NE,5,2,AMBIGUO,revisar,95,B_model+talle+color_overlap_1+color0+pack+marca,1346,2400,2400 TM Atomik Media Stripe Negro 2P,,Terminado,11,1352,2400 TM Atomik Media Stripe Negro 2P,95,1349,2400 T5  Atomik Media Stripe Blanco Logo Negro 1Par,89
AT2402BLGMNE4,AT2402,Atomik 2402(Atk-1025)Soquete Unisex Basico x3 Bl/Gm/Ne 4,Atomik,2402,BL/GM/NE,4,3,AMBIGUO,revisar,100,B_model+talle+color_overlap_2+color0+marca,1318,2402,2402 T4 Atomik Soquete Unisex Basico Blanco Logo Negro 1Par,2402,Fabricado,12,1320,2402 T4 Atomik Soquete Unisex Basico Negro  Logo Blanco 1Par,100,134,2402 TL Atomik Soquete Unisex Basico Blanco 3P,96
AT2402BLGMNE5,AT2402,Atomik 2402(Atk-1025)Soquete Unisex Basico x3 Bl/Gm/Ne 5,Atomik,2402,BL/GM/NE,5,3,AMBIGUO,revisar,100,B_model+talle+color_overlap_2+color0+marca,1321,2402,2402 T5 Atomik Soquete Unisex Basico Blanco Logo Negro 1Par,2402,Fabricado,12,1323,2402 T5 Atomik Soquete Unisex Basico Negro Logo Blanco 1Par,100,131,2402 TM Atomik Soquete Unisex Basico Blanco 3P,96
AT2407BLNE2,AT2407,Atomik 2407(Atk-Cole)Media Liso x2 Bl/Ne 2,Atomik,2407,BL/NE,2,2,AMBIGUO,revisar,100,B_model+talle+color_overlap_2+color0+marca,1334,2407,2407 T2 Atomik Media Liso Blanco Logo Negro 1Par,2407,Fabricado,15,1337,2407 T2 Atomik Media Liso Negro Logo Blanco 1Par,100,145,2407 T2 Atomik Media Liso Blanco 2P,96
AT2407BLNE3,AT2407,Atomik 2407(Atk-Cole)Media Liso x2 Bl/Ne 3,Atomik,2407,BL/NE,3,2,AMBIGUO,revisar,100,B_model+talle+color_overlap_2+color0+marca,1335,2407,2407 T3 Atomik Media Liso Blanco Logo Negro 1Par,2407,Fabricado,15,1338,2407 T3 Atomik Media Liso Negro Logo Blanco 1Par,100,148,2407 T3 Atomik Media Liso Blanco 2P,96
AT2408BLNE1,AT2408,Atomik 2408 Medias Stripe Kids x2 Bl/Ne 1,Atomik,2408,BL/NE,1,2,AMBIGUO,revisar,99,B_model+talle+color_overlap_2+color0+marca,1363,2408,2408 T1 Atomik Media Stripe Blanco Logo Negro 1Par,,Terminado,15,1366,2408 T1 Atomik Media Stripe Negro Logo Blanco 1Par,99,1354,2408 T1 Atomik Media Stripe Blanco 2P,94
AT2408BLNE2,AT2408,Atomik 2408 Medias Stripe Kids x2 Bl/Ne 2,Atomik,2408,BL/NE,2,2,AMBIGUO,revisar,99,B_model+talle+color_overlap_2+color0+marca,1364,2408,2408 T2 Atomik Media Stripe Blanco Logo Negro 1Par,,Terminado,15,1367,2408 T2 Atomik Media Stripe Negro Logo Blanco 1Par,99,1355,2408 T2 Atomik Media Stripe Blanco 2P,94
AT2408BLNE3,AT2408,Atomik 2408 Medias Stripe Kids x2 Bl/Ne 3,Atomik,2408,BL/NE,3,2,AMBIGUO,revisar,99,B_model+talle+color_overlap_2+color0+marca,1365,2408,2408 T3 Atomik Media Stripe Blanco Logo Negro 1Par,,Terminado,15,1368,2408 T3 Atomik Media Stripe Negro Logo Blanco 1Par,99,1356,2408 T3 Atomik Media Stripe Blanco 2P,94
