best_id_articulo,best_codigo,best_articulo,best_marca,best_modelos,best_colores,best_color_mode,best_talle,best_pack,best_variant_codes,status,confianza,score,razon,admin_IDArt,admin_id_manual,admin_NombreArticulo,admin_CodArtProv,admin_pack,admin_talle,admin_color_mode,admin_tipo_art_fab,candidatos_n,alt1_IDArt,alt1_nombre,alt1_score,alt2_IDArt,alt2_nombre,alt2_score,dict_version
KP610BLBLBL6,KP610,Kamp 610 Tripack Bl/Bl/Bl 6,Kamp ,610,BL/BL/BL,solid,6,3,,AMBIGUO,revisar,81,B_model+talle_diff+pack+color_solid+marca+jaccard_0.44,340,610,610 T4 Kamp Tripack  Bl/Gm/Ne 3P,,3,4,solid,Terminado,6,343,610 T5 Kamp Tripack Bl/Gm/Ne 3P,81,341,610 T4 Kamp Tripack Blanco 3P,80,2026-07-10-v3
KP610NENENE6,KP610,Kamp 610 Tripack Ne/Ne/Ne 6,Kamp ,610,NE/NE/NE,solid,6,3,,AMBIGUO,revisar,80,B_model+talle_diff+pack+color_solid+marca,342,610,610 T4 Kamp Tripack Negro 3P,,3,4,solid,Terminado,6,345,610 T5 Kamp Tripack Negro 3P,80,340,610 T4 Kamp Tripack  Bl/Gm/Ne 3P,29,2026-07-10-v3
PU1025AOAEMN5,p4/906807/16,Puma 6807-16 Inv. Sneaker 3P Ao/Ae/Mn 5,Puma,1025|906807|6807,AO/AE/MN,mix,5,3,6807-16|906807-16,AMBIGUO,revisar,87,B_model+variant_code+talle_diff+pack+color_solid_partial_mix+color_tok_3+marca+jaccard_0.54,33,906807,906807-16 T5 Puma Invisible Sneaker Ao/Ae/Mn 3P,906807-16 T130,3,6,solid,Terminado,49,39,906807-79 T5 Puma Invisible Sneaker Blanco Logo Tu/Ve/Vi 3P,87,36,906807-03 T5 Puma Invisible Sneaker Blanco 3P,73,2026-07-10-v3
PU6512BLGRNE5,u1-6512-892576/01,PUMA 2576-01 Unisex Sneakers Half Terry 3P Bl/Gr/Ne 5,Puma,6512|2576,BL/GR/NE,mix,5,3,2576-01|902576-01,AMBIGUO,revisar,55,B_model+talle+pack_mismatch_1par+color_logo_as_mix_partial+color_tok_2+marca,816,,2576 T5 Puma Sneakers Half Terry Blanco Logo Negro 1Par,,1,5,logo,Fabricado,7,821,2576 T5 Puma Sneakers Half Terry Negro Logo Blanco 1Par,55,818,2576 T5 Puma Sneakers Half Terry Blanco Logo Gris 1Par,37,2026-07-10-v3
PU7374BLBLBL2,v4-907374/05,Puma 7374-05 Kids Invisible Bl/Bl/Bl 2,Puma,7374|907374,BL/BL/BL,solid,2,3,7374-05|907374-05,AMBIGUO,revisar,113,B_model+variant_code+talle_diff+pack+color_solid+marca,498,907374,907374-05 T2 Puma Kids Invisibles Blanco 3P,907374-05 T110,3,4,solid,Terminado,16,501,907374-05 T3 Puma Kids Invisibles Blanco 3P,113,933,7374 T2 Puma Kids Invisibles Negro Logo Blanco 1Par,41,2026-07-10-v3
PU7374BLBLBL3,v4-907374/05,Puma 7374-05 Kids Invisible Bl/Bl/Bl 3,Puma,7374|907374,BL/BL/BL,solid,3,3,7374-05|907374-05,AMBIGUO,revisar,113,B_model+variant_code+talle_diff+pack+color_solid+marca,498,907374,907374-05 T2 Puma Kids Invisibles Blanco 3P,907374-05 T110,3,4,solid,Terminado,16,501,907374-05 T3 Puma Kids Invisibles Blanco 3P,113,938,7374 T3 Puma Kids Invisibles Negro Logo Blanco 1Par,41,2026-07-10-v3
RE3000NENENE5,3000-2,Reef 3000 Logo Prog Crew Ne/Ne/Ne 5,Reef,3000,NE/NE/NE,solid,5,3,,AMBIGUO,revisar,98,B_model+talle+pack+color_tok_1+marca,155,3000,3000-03 T5 Reef Logo Program Crew Bl/Ne/Gr 3P,3000-01 T39/43,3,5,logo,Terminado,3,156,3000-01 T5 Reef Logo Program Crew Blanco 3P,95,157,3000-02 T5 Reef Logo Program Crew Negro 3P,83,2026-07-10-v3
RE3080NENENE3,3080-2,Reef 3080 KIDS LOGO PROG CREW Ne/Ne/Ne 3,Reef,3080,NE/NE/NE,solid,3,3,,AMBIGUO,revisar,99,B_model+talle+pack+color_tok_1+marca+jaccard_0.43,1296,3080,3080-03 T3 Reef Kids Logo Program Crew Bl/Ne/Gr 3P,3080-03 T30/34,3,3,logo,Terminado,3,158,3080-01 T3 Reef Kids Logo Program Crew Blanco 3P,95,1295,3080-02 T3 Reef Kids Logo Program Crew Negro 3P,83,2026-07-10-v3
VA510BLNE5,VA510,Varios 510 SOX Bipacks LISA Bl/Ne 5,Varios,510,BL/NE,mix,5,2,,AMBIGUO,revisar,84,B_model+talle+pack+color_solid_partial_mix+color_tok_2,269,510,510-01 T5 BS Medias Antideslizante Bl/Ne 2P,510-01 T40/43,2,5,solid,Terminado,9,270,510-03 T5 BS Medias Antideslizante Blanco 2P,79,272,510-02 T5 BS Medias Antideslizante Negro 2P,79,2026-07-10-v3
AT2400BLBL4,AT2400,Atomik 2400 Medias Stripe x2 Bl/Bl 4,Atomik,2400,BL/BL,solid,4,2,,MATCH_ALTO,alta,124,B_model+talle+pack+color_solid+marca,1343,2400,2400 TL Atomik Media Stripe Blanco 2P,,2,4,solid,Terminado,11,1344,2400 TM Atomik Media Stripe Blanco 2P,79,1347,2400 TL Atomik Media Stripe Mix 2P,74,2026-07-10-v3
