orden_nro,estado,finalizada,entrega,cliente,cuit,fecha_emision,fecha_entrega,deposito_origen,responsable,linea,id_articulo,codigo,articulo,marca,cantidad,cant_entregada,pendiente,um,precio,monto_pendiente,notas,notas_linea
300042564,Confirmada,False,Pendiente,ALEJANDRO N 34,,03/07/2026,03/07/2026,Depósito Terminado,patricia,1,PU7944NENE5,e3-907944-01,Puma 7944-01 Crew Heritage 2P Ne/Ne 5,Puma,30.0000,0.0000,30.0000,uni,6666.2000,199986.00000000,,"<Notas>
  <Nota>
    <CUIT />
    <Cliente>ALEJANDRO N 34</Cliente>
    <Direccion />
    <Telefono />
    <Expreso />
    <DireccionExpreso />
    <Notas />
  </Nota>
</Notas>"
300042564,Confirmada,False,Pendiente,ALEJANDRO N 34,,03/07/2026,03/07/2026,Depósito Terminado,patricia,2,PU7944BLBL5,e3-907944-02,Puma 7944-02 Crew Heritage 2P Bl/Bl 5,Puma,30.0000,0.0000,30.0000,uni,6666.2000,199986.00000000,,
300042564,Confirmada,False,Pendiente,ALEJANDRO N 34,,03/07/2026,03/07/2026,Depósito Terminado,patricia,3,PU7953NEM45,e5-907953-01,Puma 7953-01 BWT LIFESTYLE Q Ne/M4 5,Puma,30.0000,0.0000,30.0000,uni,4717.5000,141525.00000000,,
300042564,Confirmada,False,Pendiente,ALEJANDRO N 34,,03/07/2026,03/07/2026,Depósito Terminado,patricia,4,PU7953MNAZ5,e5-907953-03,Puma 7953-03 BWT LIFESTYLE Q Mn/Az 5,Puma,30.0000,0.0000,30.0000,uni,4717.5000,141525.00000000,,
300042564,Confirmada,False,Pendiente,ALEJANDRO N 34,,03/07/2026,03/07/2026,Depósito Terminado,patricia,5,PU504NENENE5,p1-906807/01,PUMA 6807-01 Inv. Sneakers 3P Ne/Ne/Ne 5,Puma,30.0000,0.0000,30.0000,uni,6153.4000,184602.00000000,,
300042564,Confirmada,False,Pendiente,ALEJANDRO N 34,,03/07/2026,03/07/2026,Depósito Terminado,patricia,6,PU504BLNEGM5,p1-906807/15,PUMA 6807-15 Inv. Sneakers 3P Bl/Ne/Gm 5,Puma,30.0000,0.0000,30.0000,uni,6153.4000,184602.00000000,,
300042564,Confirmada,False,Pendiente,ALEJANDRO N 34,,03/07/2026,03/07/2026,Depósito Terminado,patricia,7,PU595GMM4NE5,q2-7312-892574/02,PUMA 2574-02 Sport 3P Gm/M4/Ne 5,Puma,30.0000,0.0000,30.0000,uni,7179.0000,215370.00000000,,
300042564,Confirmada,False,Pendiente,ALEJANDRO N 34,,03/07/2026,03/07/2026,Depósito Terminado,patricia,8,PU595NENENE5,q3-7312-892574/03,PUMA 2574-03 Sport 3P Ne/Ne/Ne 5,Puma,30.0000,0.0000,30.0000,uni,7179.0000,215370.00000000,,
300042564,Confirmada,False,Pendiente,ALEJANDRO N 34,,03/07/2026,03/07/2026,Depósito Terminado,patricia,9,PU6512BLGRNE5,u1-6512-892576/01,PUMA 2576-01 Unisex Sneakers Half Terry 3P Bl/Gr/Ne 5,Puma,30.0000,0.0000,30.0000,uni,6922.6000,207678.00000000,,
300042573,Confirmada,False,Pendiente,ALEJANDRO N35,,10/07/2026,10/07/2026,Depósito Terminado,patricia,1,PU7944NENE5,e3-907944-01,Puma 7944-01 Crew Heritage 2P Ne/Ne 5,Puma,12.0000,0.0000,12.0000,uni,6666.2000,79994.40000000,,"<Notas>
  <Nota>
    <CUIT />
    <Cliente>ALEJANDRO N35</Cliente>
    <Direccion />
    <Telefono />
    <Expreso />
    <DireccionExpreso />
    <Notas />
  </Nota>
</Notas>"
300042573,Confirmada,False,Pendiente,ALEJANDRO N35,,10/07/2026,10/07/2026,Depósito Terminado,patricia,2,PU7944BLBL5,e3-907944-02,Puma 7944-02 Crew Heritage 2P Bl/Bl 5,Puma,12.0000,0.0000,12.0000,uni,6666.2000,79994.40000000,,
300042573,Confirmada,False,Pendiente,ALEJANDRO N35,,10/07/2026,10/07/2026,Depósito Terminado,patricia,3,PU8380NENE4,e4-938380-01,Puma 8380-01 Women Sock 2P Ne/Ne 4,Puma,6.0000,0.0000,6.0000,uni,5897.0000,35382.00000000,,
300042573,Confirmada,False,Pendiente,ALEJANDRO N35,,10/07/2026,10/07/2026,Depósito Terminado,patricia,4,PU8380BLBL4,e4-938380-02,Puma 8380-02 Women Sock 2P Bl/Bl 4,Puma,12.0000,0.0000,12.0000,uni,5897.0000,70764.00000000,,
