pack_slug,file_name,file_size,file_format,file_sha256,replace_mode,estado,rows_created,rows_updated,rows_skipped,error_message,actor_id_usuario,actor_cod_usuario,actor_nombre,audit_json,created_at,applied_at
levis_bw,Monthly Reporting Best Sox_LEVIS BW 26.xlsx,64300,xlsx,ddf6b7bf66d90c925b29b18a3ddd11086df9afadab6075d41a256e3a53c959f5,t,failed,0,0,0,[<class 'decimal.ConversionSyntax'>],,ops,Import seed Julio VML,{},2026-08-17 19:35:13.866617+00,2026-08-17 19:35:13.86645+00
levis_lw_dz,Monthly Reporting Best Sox_LEVIS LW 26 DZ.xlsx,64642,xlsx,965d15fdf602d753a3b5bf91eb80f25c29da913c4f03a215be358486714a37ec,t,failed,0,0,0,[<class 'decimal.ConversionSyntax'>],,ops,Import seed Julio VML,{},2026-08-17 19:35:13.866988+00,2026-08-17 19:35:13.866922+00
levis_lw_pk,Monthly Reporting Best Sox_LEVIS LW 26 PK.xlsx,64304,xlsx,a35db4cd5d87db8b617051dca6dcade0db7ef79d96c928be0ea234f57f03454d,t,failed,0,0,0,[<class 'decimal.ConversionSyntax'>],,ops,Import seed Julio VML,{},2026-08-17 19:35:13.867223+00,2026-08-17 19:35:13.867149+00
lw_propia,Monthly Reporting Best Sox_LW 26.xlsx,108308,xlsx,57789e969e6538dc2b2abdf145ad06905f3e3b41463300bc1d1db806f16a5230,t,failed,0,0,0,[<class 'decimal.ConversionSyntax'>],,ops,Import seed Julio VML,{},2026-08-17 19:35:13.867399+00,2026-08-17 19:35:13.867341+00
levis_bw,Monthly Reporting Best Sox_LEVIS BW 26.xlsx,64300,xlsx,ddf6b7bf66d90c925b29b18a3ddd11086df9afadab6075d41a256e3a53c959f5,t,applied,36,0,0,"",,ops,Import seed Julio VML,{},2026-08-17 19:35:13.867572+00,2026-08-17 18:27:58.177312+00
levis_lw_dz,Monthly Reporting Best Sox_LEVIS LW 26 DZ.xlsx,64642,xlsx,965d15fdf602d753a3b5bf91eb80f25c29da913c4f03a215be358486714a37ec,t,applied,33,0,0,"",,ops,Import seed Julio VML,{},2026-08-17 19:35:13.867744+00,2026-08-17 18:27:59.637882+00
levis_lw_pk,Monthly Reporting Best Sox_LEVIS LW 26 PK.xlsx,64304,xlsx,a35db4cd5d87db8b617051dca6dcade0db7ef79d96c928be0ea234f57f03454d,t,applied,33,0,0,"",,ops,Import seed Julio VML,{},2026-08-17 19:35:13.867911+00,2026-08-17 18:28:00.75523+00
lw_propia,Monthly Reporting Best Sox_LW 26.xlsx,108308,xlsx,57789e969e6538dc2b2abdf145ad06905f3e3b41463300bc1d1db806f16a5230,t,applied,303,0,0,"",,ops,Import seed Julio VML,{},2026-08-17 19:35:13.868094+00,2026-08-17 18:28:02.677057+00
puma_bw,Monthly_Reporting _Best Sox_2026_BW_PUMA.xlsb,54599,xlsb,461effb411df474f2040acb3a050405191b7a474405ac84b521c3b1d18a03d04,t,applied,104,0,0,"",,ops,Import seed Julio VML,{},2026-08-17 19:35:13.868274+00,2026-08-17 18:28:28.774142+00
puma_sw,Monthly_Reporting _Best Sox_2026_SW_PUMA.xlsb,53698,xlsb,507dc76ca0403084b980a4936477ccad53f088e6b672723eb826efb60d65eda3,t,applied,15,3,0,"",,ops,Import seed Julio VML,"{""replacements"": [{""after"": {""units"": ""26.000000"", ""amount"": ""413357.56""}, ""month"": ""2026-02-01"", ""before"": {""units"": ""185.000000"", ""amount"": ""2671530.24""}, ""seed_key"": ""name:a431981bd78aef25ae08ec53f7568fbc58ee351218ccbf8f5e26d308aa42a803""}, {""after"": {""units"": ""16.000000"", ""amount"": ""201021.60""}, ""month"": ""2026-01-01"", ""before"": {""units"": ""30.000000"", ""amount"": ""338454.00""}, ""seed_key"": ""name:10e71ef7a370ab258963b46a86618cf80b7e96b796254efe24bff9b3945e5dcf""}, {""after"": {""units"": ""1.000000"", ""amount"": ""14994.31""}, ""month"": ""2026-06-01"", ""before"": {""units"": ""14.000000"", ""amount"": ""273737.74""}, ""seed_key"": ""name:0c43709eb4e28e3a7ebf8cef952753e20d5714dc915127913f4f9d8fdd8215ad""}]}",2026-08-17 19:35:13.868475+00,2026-08-17 18:28:30.140855+00
